objname,al2000,de2000,type,incl,logd25,brief,ut,bt,vt,kt,v,mabs
IC4820,19.1537639,-63.4654722,Scd,57.15,1.133,24.161,15.234,15.184,14.604,13.556,3912.2,-19.036
ESO073-005,19.7485014,-69.8840694,Sa,76.61,1.015,21.657,15.609,15.469,14.659,11.278,3717.6,-18.879
NGC6943,20.7426827,-68.7478986,Sc,54.23,1.574,21.921,12.18,12.07,11.38,8.536,3115.2,-20.909
IC5052,20.8679165,-69.2000691,SBcd,90,1.855,22.771,11.69,11.67,11.04,9.01,588.9,-18.551
NGC7098,21.7378059,-75.1115184,Sa,65.35,1.25,22.64,13.006,12.536,11.586,7.899,2363.8,-20.594
NGC7329,22.6733863,-66.4790844,SBbc,42.21,1.494,22.848,12.548,12.368,11.598,8.898,3249.8,-21.216
PGC054518,15.2778326,0.2505198,E,69.48,0.796,20.257,17.463,15.837,15.8,11.552,15766.1,-21.49
ESO075-041,21.9516528,-69.6898889,E-S0,90,1.294,22.103,14.435,14.295,13.448,10.111,8489.4,-21.36
NGC4492,12.5165919,8.0778443,Sa,29.39,1.325,22.026,13.86,12.635,11.995,9.099,1743.5,-20.066
NGC4691,12.8037965,-3.3328201,S0-a,38.68,1.482,20.478,12.883,11.515,10.935,8.563,1125.9,-19.86
UGC06670,11.7081592,18.3330602,IB,90,1.182,22.726,13.997,13.558,13.138,11.225,924.7,-18.375
NGC4454,12.4807632,-1.9392401,S0-a,25.3,1.336,22.257,13.856,12.776,11.926,9.07,2329.9,-20.088
PGC044685,12.9994811,2.0493077,I,66.5,0.998,22.584,16.233,14.785,14.445,12.05,874.3,-16.585
NGC4539,12.5763164,18.2026639,Sa,77.53,1.437,21.757,14.878,12.908,12.05,9.53,1394.6,-19.259
UGC08084,12.9728429,2.7924858,SBd,39.41,1.021,23.359,16.069,14.474,14.174,13.121,2776.6,-18.308
NGC7503,23.1784085,7.5678495,E,39.87,0.979,21.959,16.217,14.442,13.487,10.062,13213.5,-22.491
